key,origin,destination,type
visa-requirement-4829,Bosnia and Herzegovina,El Salvador,VISA_REQUIRED
visa-requirement-29763,Pakistan,Bolivia,VISA_REQUIRED
visa-requirement-19208,Jordan,Namibia,VISA_REQUIRED
visa-requirement-10225,Czech Republic,Argentina,VISA_FREE
visa-requirement-41805,Uganda,Cameroon,VISA_REQUIRED
visa-requirement-29916,Pakistan,Singapore,VISA_REQUIRED
visa-requirement-22693,Luxembourg,Uzbekistan,VISA_FREE
visa-requirement-13188,Finland,Belize,VISA_FREE
visa-requirement-39867,The Gambia,Nepal,VISA_FREE
visa-requirement-6954,Canada,New Zealand,VISA_FREE
visa-requirement-41903,Uganda,Montenegro,VISA_REQUIRED
visa-requirement-44265,Vietnam,Zimbabwe,VISA_REQUIRED
visa-requirement-10892,Djibouti,Venezuela,VISA_REQUIRED
visa-requirement-41911,Uganda,Netherlands,VISA_REQUIRED
visa-requirement-12061,Equatorial Guinea,Brazil,VISA_REQUIRED
visa-requirement-52,Afghanistan,Cuba,VISA_REQUIRED
visa-requirement-31924,Portugal,New Caledonia,VISA_FREE
visa-requirement-6402,Cambodia,Congo (Dem. Rep.),VISA_REQUIRED
visa-requirement-5646,Brunei,Taiwan (Chinese Taipei),VISA_FREE
visa-requirement-5836,Bulgaria,Philippines,VISA_FREE
visa-requirement-43601,Vatican City,Bahrain,VISA_FREE
visa-requirement-33011,Samoa,Iran,VISA_FREE
visa-requirement-39232,Tajikistan,Sri Lanka,VISA_FREE
visa-requirement-36629,Spain,Greenland,VISA_FREE
visa-requirement-16113,Haiti,Venezuela,VISA_REQUIRED
visa-requirement-3581,Belarus,Seychelles,VISA_FREE
visa-requirement-2582,Bahamas,Guinea,VISA_REQUIRED
visa-requirement-17101,India,Gabon,VISA_FREE
visa-requirement-28947,North Korea,Luxembourg,VISA_REQUIRED
visa-requirement-20720,Laos,El Salvador,VISA_REQUIRED
visa-requirement-43384,Vanuatu,Bonaire; St. Eustatius and Saba,VISA_REQUIRED
visa-requirement-43035,Uruguay,Moldova,VISA_FREE
visa-requirement-4520,Bhutan,Tunisia,VISA_REQUIRED
visa-requirement-41653,Türkiye,Lebanon,VISA_FREE
visa-requirement-27168,Namibia,Pakistan,VISA_REQUIRED
visa-requirement-2347,Azerbaijan,Germany,VISA_REQUIRED
visa-requirement-26866,Myanmar,Gibraltar,VISA_REQUIRED
visa-requirement-25235,Micronesia,Canada,VISA_REQUIRED
visa-requirement-27107,Namibia,India,VISA_REQUIRED
visa-requirement-19078,Jordan,Argentina,VISA_REQUIRED
visa-requirement-28379,Niger,Algeria,VISA_REQUIRED
visa-requirement-36343,South Sudan,Benin,VISA_FREE
visa-requirement-24844,Mauritius,Jamaica,VISA_FREE
visa-requirement-21716,Liberia,North Macedonia,VISA_REQUIRED
visa-requirement-858,Andorra,Sierra Leone,VISA_REQUIRED
visa-requirement-26599,Mozambique,Cayman Islands,VISA_FREE
visa-requirement-27569,Nepal,Japan,VISA_REQUIRED
visa-requirement-30523,Panama,Kenya,VISA_REQUIRED
